actor,movie,movie_year,role_sentence,role_size
Jodie Foster,It Was a Wonderful Life,1993,"In It Was a Wonderful Life, Jodie Foster had a large role.",large
Jodie Foster,Sommersby,1993,"In Sommersby, Jodie Foster had a large role.",large
Jodie Foster,Maverick,1994,"In Maverick, Jodie Foster had a large role.",large
Jodie Foster,Nell,1994,"In Nell, Jodie Foster had a large role.",large
Jodie Foster,Contact,1997,"In Contact, Jodie Foster had a large role.",large
Jodie Foster,Anna and the King,1999,"In Anna and the King, Jodie Foster had a large role.",large
Jodie Foster,Panic Room,2002,"In Panic Room, Jodie Foster had a large role.",large
Jodie Foster,The Dangerous Lives of Altar Boys,2002,"In The Dangerous Lives of Altar Boys, Jodie Foster had a large role.",large
Jodie Foster,Abby Singer,2003,"In Abby Singer, Jodie Foster had a large role.",large
Jodie Foster,A Very Long Engagement,2004,"In A Very Long Engagement, Jodie Foster had a large role.",large
Jodie Foster,Flightplan,2005,"In Flightplan, Jodie Foster had a large role.",large
Jodie Foster,Inside Man,2006,"In Inside Man, Jodie Foster had a large role.",large
Jodie Foster,The Brave One,2007,"In The Brave One, Jodie Foster had a large role.",large
Jodie Foster,Motherhood,2009,"In Motherhood, Jodie Foster had a large role.",large
Jodie Foster,Carnage,2011,"In Carnage, Jodie Foster had a large role.",large
Jodie Foster,The Beaver,2011,"In The Beaver, Jodie Foster had a large role.",large
Jodie Foster,Elysium,2013,"In Elysium, Jodie Foster had a large role.",large
Jodie Foster,Be Natural: The Untold Story of Alice Guy-Blaché,2018,"In Be Natural: The Untold Story of Alice Guy-Blaché, Jodie Foster had a large role.",large
Jodie Foster,Hotel Artemis,2018,"In Hotel Artemis, Jodie Foster had a large role.",large
Jodie Foster,"Love, Antosha",2019,"In ""Love, Antosha"", Jodie Foster had a large role.",large
Jodie Foster,The Mauritanian,2021,"In The Mauritanian, Jodie Foster had a large role.",large
Jodie Foster,Nyad,2023,"In Nyad, Jodie Foster had a large role.",large
Jodie Foster,A Private Life,2025,"In A Private Life, Jodie Foster had a large role.",large
Jodie Foster,Breakdown: 1975,2025,"In Breakdown: 1975, Jodie Foster had a large role.",large
Johnny Depp,A Nightmare on Elm Street,1984,"In A Nightmare on Elm Street, Johnny Depp had a large role.",large
Johnny Depp,Private Resort,1985,"In Private Resort, Johnny Depp had a large role.",large
Johnny Depp,Platoon,1986,"In Platoon, Johnny Depp had a large role.",large
Johnny Depp,Cry-Baby,1990,"In Cry-Baby, Johnny Depp had a large role.",large
Johnny Depp,Edward Scissorhands,1990,"In Edward Scissorhands, Johnny Depp had a large role.",large
Johnny Depp,Arizona Dream,1993,"In Arizona Dream, Johnny Depp had a large role.",large
Johnny Depp,Benny & Joon,1993,"In Benny & Joon, Johnny Depp had a large role.",large
Johnny Depp,Ed Wood,1994,"In Ed Wood, Johnny Depp had a large role.",large
Johnny Depp,Dead Man,1995,"In Dead Man, Johnny Depp had a large role.",large
Johnny Depp,Don Juan DeMarco,1995,"In Don Juan DeMarco, Johnny Depp had a large role.",large
Johnny Depp,Nick of Time,1995,"In Nick of Time, Johnny Depp had a large role.",large
Johnny Depp,Cannes Man,1996,"In Cannes Man, Johnny Depp had a large role.",large
Johnny Depp,Donnie Brasco,1997,"In Donnie Brasco, Johnny Depp had a large role.",large
Johnny Depp,Fear and Loathing in Las Vegas,1998,"In Fear and Loathing in Las Vegas, Johnny Depp had a large role.",large
Johnny Depp,Sleepy Hollow,1999,"In Sleepy Hollow, Johnny Depp had a large role.",large
Johnny Depp,The Ninth Gate,1999,"In The Ninth Gate, Johnny Depp had a large role.",large
Johnny Depp,Before Night Falls,2000,"In Before Night Falls, Johnny Depp had a large role.",large
Johnny Depp,Chocolat,2000,"In Chocolat, Johnny Depp had a large role.",large
Johnny Depp,The Man Who Cried,2000,"In The Man Who Cried, Johnny Depp had a large role.",large
Johnny Depp,Blow,2001,"In Blow, Johnny Depp had a large role.",large
Johnny Depp,From Hell,2001,"In From Hell, Johnny Depp had a large role.",large
Johnny Depp,Once Upon a Time in Mexico,2003,"In Once Upon a Time in Mexico, Johnny Depp had a large role.",large
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"In Pirates of the Caribbean: The Curse of the Black Pearl, Johnny Depp had a large role.",large
Johnny Depp,Finding Neverland,2004,"In Finding Neverland, Johnny Depp had a large role.",large
Johnny Depp,Happily Ever After,2004,"In Happily Ever After, Johnny Depp had a large role.",large
Johnny Depp,Secret Window,2004,"In Secret Window, Johnny Depp had a large role.",large
Johnny Depp,Charlie and the Chocolate Factory,2005,"In Charlie and the Chocolate Factory, Johnny Depp had a large role.",large
Johnny Depp,Corpse Bride,2005,"In Corpse Bride, Johnny Depp had a large role.",large
Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,2007,"In Sweeney Todd: The Demon Barber of Fleet Street, Johnny Depp had a large role.",large
Johnny Depp,Public Enemies,2009,"In Public Enemies, Johnny Depp had a large role.",large
Johnny Depp,The Imaginarium of Doctor Parnassus,2009,"In The Imaginarium of Doctor Parnassus, Johnny Depp had a large role.",large
Johnny Depp,Alice in Wonderland,2010,"In Alice in Wonderland, Johnny Depp had a large role.",large
Johnny Depp,Hugo,2011,"In Hugo, Johnny Depp had a large role.",large
Johnny Depp,Pirates of the Caribbean: On Stranger Tides,2011,"In Pirates of the Caribbean: On Stranger Tides, Johnny Depp had a large role.",large
Johnny Depp,Rango,2011,"In Rango, Johnny Depp had a large role.",large
Johnny Depp,21 Jump Street,2012,"In 21 Jump Street, Johnny Depp had a large role.",large
Johnny Depp,Dark Shadows,2012,"In Dark Shadows, Johnny Depp had a large role.",large
Johnny Depp,Lucky Them,2013,"In Lucky Them, Johnny Depp had a large role.",large
Johnny Depp,Into the Woods,2014,"In Into the Woods, Johnny Depp had a large role.",large
Johnny Depp,Transcendence,2014,"In Transcendence, Johnny Depp had a large role.",large
Johnny Depp,Tusk,2014,"In Tusk, Johnny Depp had a large role.",large
Johnny Depp,Black Mass,2015,"In Black Mass, Johnny Depp had a large role.",large
Johnny Depp,Mortdecai,2015,"In Mortdecai, Johnny Depp had a large role.",large
Johnny Depp,Alice Through the Looking Glass,2016,"In Alice Through the Looking Glass, Johnny Depp had a large role.",large
Johnny Depp,Fantastic Beasts and Where to Find Them,2016,"In Fantastic Beasts and Where to Find Them, Johnny Depp had a large role.",large
Johnny Depp,Yoga Hosers,2016,"In Yoga Hosers, Johnny Depp had a large role.",large
Johnny Depp,Murder on the Orient Express,2017,"In Murder on the Orient Express, Johnny Depp had a large role.",large
Johnny Depp,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"In Pirates of the Caribbean: Dead Men Tell No Tales, Johnny Depp had a large role.",large
Johnny Depp,The Black Ghiandola,2017,"In The Black Ghiandola, Johnny Depp had a large role.",large
Johnny Depp,City of Lies,2018,"In City of Lies, Johnny Depp had a large role.",large
Johnny Depp,Fantastic Beasts: The Crimes of Grindelwald,2018,"In Fantastic Beasts: The Crimes of Grindelwald, Johnny Depp had a large role.",large
Johnny Depp,London Fields,2018,"In London Fields, Johnny Depp had a large role.",large
Johnny Depp,Sherlock Gnomes,2018,"In Sherlock Gnomes, Johnny Depp had a large role.",large
Johnny Depp,Waiting for the Barbarians,2018,"In Waiting for the Barbarians, Johnny Depp had a large role.",large
Johnny Depp,Minamata,2020,"In Minamata, Johnny Depp had a large role.",large
Johnny Depp,Jeanne du Barry,2023,"In Jeanne du Barry, Johnny Depp had a large role.",large
Johnny Depp,Johnny Puff: Secret Mission,2024,"In Johnny Puff: Secret Mission, Johnny Depp had a large role.",large
Johnny Depp,"Modì, Three Days on the Wing of Madness",2024,"In ""Modì, Three Days on the Wing of Madness"", Johnny Depp had a large role.",large
Julia Roberts,Firehouse,1987,"In Firehouse, Julia Roberts had a large role.",large
Julia Roberts,Mystic Pizza,1988,"In Mystic Pizza, Julia Roberts had a large role.",large
Julia Roberts,Satisfaction,1988,"In Satisfaction, Julia Roberts had a large role.",large
Julia Roberts,Blood Red,1989,"In Blood Red, Julia Roberts had a large role.",large
Julia Roberts,Steel Magnolias,1989,"In Steel Magnolias, Julia Roberts had a large role.",large
Julia Roberts,Flatliners,1990,"In Flatliners, Julia Roberts had a large role.",large
Julia Roberts,Pretty Woman,1990,"In Pretty Woman, Julia Roberts had a large role.",large
Julia Roberts,Dying Young,1991,"In Dying Young, Julia Roberts had a large role.",large
Julia Roberts,Hook,1991,"In Hook, Julia Roberts had a large role.",large
Julia Roberts,Sleeping with the Enemy,1991,"In Sleeping with the Enemy, Julia Roberts had a large role.",large
Julia Roberts,The Player]],1992,"In The Player]], Julia Roberts had a large role.",large
Julia Roberts,The Pelican Brief]],1993,"In The Pelican Brief]], Julia Roberts had a large role.",large
Julia Roberts,I Love Trouble,1994,"In I Love Trouble, Julia Roberts had a large role.",large
Julia Roberts,Prêt-à-Porter,1994,"In Prêt-à-Porter, Julia Roberts had a large role.",large
Julia Roberts,Something to Talk About,1995,"In Something to Talk About, Julia Roberts had a large role.",large
Julia Roberts,Everyone Says I Love You,1996,"In Everyone Says I Love You, Julia Roberts had a small role.",small
Julia Roberts,Mary Reilly,1996,"In Mary Reilly, Julia Roberts had a large role.",large
Julia Roberts,Michael Collins,1996,"In Michael Collins, Julia Roberts had a large role.",large
Julia Roberts,Conspiracy Theory,1997,"In Conspiracy Theory, Julia Roberts had a large role.",large
Julia Roberts,Stepmom,1998,"In Stepmom, Julia Roberts had a large role.",large
Julia Roberts,Notting Hill,1999,"In Notting Hill, Julia Roberts had a large role.",large
Julia Roberts,Runaway Bride,1999,"In Runaway Bride, Julia Roberts had a large role.",large
Julia Roberts,Erin Brockovich,2000,"In Erin Brockovich, Julia Roberts had a large role.",large
Julia Roberts,The Mexican,2001,"In The Mexican, Julia Roberts had a large role.",large
Julia Roberts,Confessions of a Dangerous Mind,2002,"In Confessions of a Dangerous Mind, Julia Roberts had a large role.",large
Julia Roberts,Full Frontal,2002,"In Full Frontal, Julia Roberts had a large role.",large
Julia Roberts,Grand Champion,2002,"In Grand Champion, Julia Roberts had a large role.",large
Julia Roberts,Mona Lisa Smile,2003,"In Mona Lisa Smile, Julia Roberts had a large role.",large
Julia Roberts,Closer,2004,"In Closer, Julia Roberts had a large role.",large
Julia Roberts,Tell Them Who You Are,2004,"In Tell Them Who You Are, Julia Roberts had a large role.",large
Julia Roberts,The Ant Bully]],2006,"In The Ant Bully]], Julia Roberts had a large role.",large
Julia Roberts,Fireflies in the Garden,2008,"In Fireflies in the Garden, Julia Roberts had a large role.",large
Julia Roberts,Kit Kittredge: An American Girl,2008,"In Kit Kittredge: An American Girl, Julia Roberts had a large role.",large
Julia Roberts,Duplicity,2009,"In Duplicity, Julia Roberts had a large role.",large
Julia Roberts,Eat Pray Love,2010,"In Eat Pray Love, Julia Roberts had a large role.",large
Julia Roberts,Jesus Henry Christ,2011,"In Jesus Henry Christ, Julia Roberts had a large role.",large
Julia Roberts,Larry Crowne,2011,"In Larry Crowne, Julia Roberts had a large role.",large
Julia Roberts,"Love, Wedding, Marriage",2011,"In ""Love, Wedding, Marriage"", Julia Roberts had a large role.",large
Julia Roberts,"Mirror, Mirror",2012,"In ""Mirror, Mirror"", Julia Roberts had a large role.",large
Julia Roberts,August: Osage County,2013,"In August: Osage County, Julia Roberts had a large role.",large
Julia Roberts,Secret in Their Eyes,2015,"In Secret in Their Eyes, Julia Roberts had a large role.",large
Julia Roberts,Money Monster,2016,"In Money Monster, Julia Roberts had a large role.",large
Julia Roberts,Smurfs: The Lost Village,2017,"In Smurfs: The Lost Village, Julia Roberts had a large role.",large
Julia Roberts,Wonder,2017,"In Wonder, Julia Roberts had a large role.",large
Julia Roberts,Ben Is Back,2018,"In Ben Is Back, Julia Roberts had a large role.",large
Julia Roberts,Ticket to Paradise,2022,"In Ticket to Paradise, Julia Roberts had a large role.",large
Julia Roberts,Leave the World Behind,2023,"In Leave the World Behind, Julia Roberts had a large role.",large
Julia Roberts,After the Hunt,2025,"In After the Hunt, Julia Roberts had a large role.",large
Julia Roberts,not,2027,"In not, Julia Roberts had a large role.",large
Kate Winslet,Heavenly Creatures,1994,"In Heavenly Creatures, Kate Winslet had a large role.",large
Kate Winslet,Entertainment Weekly,1995,"In Entertainment Weekly, Kate Winslet had a large role.",large
Kate Winslet,Sense and Sensibility,1995,"In Sense and Sensibility, Kate Winslet had a large role.",large
Kate Winslet,Jude,1996,"In Jude, Kate Winslet had a large role.",large
Kate Winslet,Titanic,1997,"In Titanic, Kate Winslet had a large role.",large
Kate Winslet,Hideous Kinky,1998,"In Hideous Kinky, Kate Winslet had a large role.",large
Kate Winslet,Faeries,1999,"In Faeries, Kate Winslet had a large role.",large
Kate Winslet,Quills,2000,"In Quills, Kate Winslet had a large role.",large
Kate Winslet,Enigma,2001,"In Enigma, Kate Winslet had a large role.",large
Kate Winslet,Iris,2002,"In Iris, Kate Winslet had a large role.",large
Kate Winslet,War Game,2002,"In War Game, Kate Winslet had a large role.",large
Kate Winslet,The Life of David Gale,2003,"In The Life of David Gale, Kate Winslet had a large role.",large
Kate Winslet,Eternal Sunshine of the Spotless Mind,2004,"In Eternal Sunshine of the Spotless Mind, Kate Winslet had a large role.",large
Kate Winslet,Finding Neverland,2004,"In Finding Neverland, Kate Winslet had a large role.",large
Kate Winslet,Romance & Cigarettes,2005,"In Romance & Cigarettes, Kate Winslet had a large role.",large
Kate Winslet,All the King's Men,2006,"In All the King's Men, Kate Winslet had a large role.",large
Kate Winslet,Deep Sea 3D,2006,"In Deep Sea 3D, Kate Winslet had a large role.",large
Kate Winslet,Flushed Away,2006,"In Flushed Away, Kate Winslet had a large role.",large
Kate Winslet,Little Children,2006,"In Little Children, Kate Winslet had a large role.",large
Kate Winslet,The Holiday,2006,"In The Holiday, Kate Winslet had a large role.",large
Kate Winslet,The Fox and the Child,2007,"In The Fox and the Child, Kate Winslet had a large role.",large
Kate Winslet,Revolutionary Road,2008,"In Revolutionary Road, Kate Winslet had a large role.",large
Kate Winslet,The Reader (2008 film),2008,"In The Reader (2008 film), Kate Winslet had a large role.",large
Kate Winslet,Holy Smoke!,2009,"In Holy Smoke!, Kate Winslet had a large role.",large
Kate Winslet,Slant Magazine,2009,"In Slant Magazine, Kate Winslet had a large role.",large
Kate Winslet,Carnage,2011,"In Carnage, Kate Winslet had a large role.",large
Kate Winslet,Contagion,2011,"In Contagion, Kate Winslet had a large role.",large
Kate Winslet,Labor Day,2013,"In Labor Day, Kate Winslet had a large role.",large
Kate Winslet,Movie 43,2013,"In Movie 43, Kate Winslet had a large role.",large
Kate Winslet,A Little Chaos,2014,"In A Little Chaos, Kate Winslet had a large role.",large
Kate Winslet,Divergent,2014,"In Divergent, Kate Winslet had a large role.",large
Kate Winslet,Daisy Chain,2015,"In Daisy Chain, Kate Winslet had a large role.",large
Kate Winslet,Steve Jobs,2015,"In Steve Jobs, Kate Winslet had a large role.",large
Kate Winslet,The Divergent Series: Insurgent,2015,"In The Divergent Series: Insurgent, Kate Winslet had a large role.",large
Kate Winslet,The Dressmaker,2015,"In The Dressmaker, Kate Winslet had a large role.",large
Kate Winslet,Triple 9,2016,"In Triple 9, Kate Winslet had a large role.",large
Kate Winslet,Christmas Carol: The Movie,2017,"In Christmas Carol: The Movie, Kate Winslet had a large role.",large
Kate Winslet,Collateral Beauty,2017,"In Collateral Beauty, Kate Winslet had a large role.",large
Kate Winslet,Hamlet,2017,"In Hamlet, Kate Winslet had a large role.",large
Kate Winslet,The Lost Letter,2017,"In The Lost Letter, Kate Winslet had a large role.",large
Kate Winslet,The Mountain Between Us,2017,"In The Mountain Between Us, Kate Winslet had a large role.",large
Kate Winslet,Wonder Wheel,2017,"In Wonder Wheel, Kate Winslet had a large role.",large
Kate Winslet,Mary and the Witch's Flower,2018,"In Mary and the Witch's Flower, Kate Winslet had a large role.",large
Kate Winslet,Birds of a Feather,2019,"In Birds of a Feather, Kate Winslet had a large role.",large
Kate Winslet,Blackbird,2019,"In Blackbird, Kate Winslet had a large role.",large
Kate Winslet,Ammonite,2020,"In Ammonite, Kate Winslet had a large role.",large
Kate Winslet,Baba Yaga,2020,"In Baba Yaga, Kate Winslet had a large role.",large
Kate Winslet,Black Beauty,2020,"In Black Beauty, Kate Winslet had a large role.",large
Kate Winslet,Eating Our Way to Extinction,2021,"In Eating Our Way to Extinction, Kate Winslet had a large role.",large
Kate Winslet,Avatar: The Way of Water,2022,"In Avatar: The Way of Water, Kate Winslet had a large role.",large
Kate Winslet,Eleven Days in May,2022,"In Eleven Days in May, Kate Winslet had a large role.",large
Kate Winslet,Lee,2023,"In Lee, Kate Winslet had a large role.",large
Kate Winslet,DreamScapes,2024,"In DreamScapes, Kate Winslet had a large role.",large
Kate Winslet,Avatar: Fire and Ash,2025,"In Avatar: Fire and Ash, Kate Winslet had a large role.",large
Kate Winslet,Goodbye June,2025,"In Goodbye June, Kate Winslet had a large role.",large
Kathy Bates,Taking Off,1971,"In Taking Off, Kathy Bates had a large role.",large
Kathy Bates,Straight Time,1978,"In Straight Time, Kathy Bates had a large role.",large
Kathy Bates,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982,"In ""Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean"", Kathy Bates had a large role.",large
Kathy Bates,Two of a Kind,1983,"In Two of a Kind, Kathy Bates had a large role.",large
Kathy Bates,Johnny Bull,1986,"In Johnny Bull, Kathy Bates had a large role.",large
Kathy Bates,Murder Ordained,1987,"In Murder Ordained, Kathy Bates had a large role.",large
Kathy Bates,My Best Friend Is a Vampire,1987,"In My Best Friend Is a Vampire, Kathy Bates had a large role.",large
Kathy Bates,Summer Heat,1987,"In Summer Heat, Kathy Bates had a large role.",large
Kathy Bates,Arthur 2: On the Rocks,1988,"In Arthur 2: On the Rocks, Kathy Bates had a large role.",large
Kathy Bates,High Stakes,1989,"In High Stakes, Kathy Bates had a large role.",large
Kathy Bates,No Place Like Home,1989,"In No Place Like Home, Kathy Bates had a large role.",large
Kathy Bates,Roe vs. Wade,1989,"In Roe vs. Wade, Kathy Bates had a large role.",large
Kathy Bates,Signs of Life,1989,"In Signs of Life, Kathy Bates had a large role.",large
Kathy Bates,Dick Tracy,1990,"In Dick Tracy, Kathy Bates had a large role.",large
Kathy Bates,Misery,1990,"In Misery, Kathy Bates had a large role.",large
Kathy Bates,White Palace,1990,"In White Palace, Kathy Bates had a large role.",large
Kathy Bates,At Play in the Fields of the Lord,1991,"In At Play in the Fields of the Lord, Kathy Bates had a large role.",large
Kathy Bates,Fried Green Tomatoes,1991,"In Fried Green Tomatoes, Kathy Bates had a large role.",large
Kathy Bates,Shadows and Fog,1991,"In Shadows and Fog, Kathy Bates had a large role.",large
Kathy Bates,The Road to Mecca,1991,"In The Road to Mecca, Kathy Bates had a large role.",large
Kathy Bates,Hostages,1992,"In Hostages, Kathy Bates had a large role.",large
Kathy Bates,Prelude to a Kiss,1992,"In Prelude to a Kiss, Kathy Bates had a large role.",large
Kathy Bates,Used People,1992,"In Used People, Kathy Bates had a large role.",large
Kathy Bates,A Home of Our Own,1993,"In A Home of Our Own, Kathy Bates had a large role.",large
Kathy Bates,Living and Working in Space: The Countdown Has Begun,1993,"In Living and Working in Space: The Countdown Has Begun, Kathy Bates had a large role.",large
Kathy Bates,Curse of the Starving Class,1994,"In Curse of the Starving Class, Kathy Bates had a large role.",large
Kathy Bates,North,1994,"In North, Kathy Bates had a large role.",large
Kathy Bates,Angus,1995,"In Angus, Kathy Bates had a large role.",large
Kathy Bates,Dolores Claiborne,1995,"In Dolores Claiborne, Kathy Bates had a large role.",large
Kathy Bates,The West Side Waltz,1995,"In The West Side Waltz, Kathy Bates had a large role.",large
Kathy Bates,Diabolique,1996,"In Diabolique, Kathy Bates had a large role.",large
Kathy Bates,Swept from the Sea,1997,"In Swept from the Sea, Kathy Bates had a large role.",large
Kathy Bates,Titanic,1997,"In Titanic, Kathy Bates had a large role.",large
Kathy Bates,A Civil Action,1998,"In A Civil Action, Kathy Bates had a large role.",large
Kathy Bates,nolink=1,1998,"In nolink=1, Kathy Bates had a large role.",large
Kathy Bates,Primary Colors,1998,"In Primary Colors, Kathy Bates had a large role.",large
Kathy Bates,The Waterboy,1998,"In The Waterboy, Kathy Bates had a large role.",large
Kathy Bates,Annie,1999,"In Annie, Kathy Bates had a large role.",large
Kathy Bates,Baby Steps,1999,"In Baby Steps, Kathy Bates had a large role.",large
Kathy Bates,Bruno,2000,"In Bruno, Kathy Bates had a large role.",large
Kathy Bates,Possessed,2000,"In Possessed, Kathy Bates had a large role.",large
Kathy Bates,Without Lying Down: Frances Marion and the Power of Women in Hollywood,2000,"In Without Lying Down: Frances Marion and the Power of Women in Hollywood, Kathy Bates had a large role.",large
Kathy Bates,American Outlaws,2001,"In American Outlaws, Kathy Bates had a large role.",large
Kathy Bates,Rat Race,2001,"In Rat Race, Kathy Bates had a large role.",large
Kathy Bates,About Schmidt,2002,"In About Schmidt, Kathy Bates had a large role.",large
Kathy Bates,Dragonfly,2002,"In Dragonfly, Kathy Bates had a large role.",large
Kathy Bates,Love Liza,2002,"In Love Liza, Kathy Bates had a large role.",large
Kathy Bates,Unconditional Love,2002,"In Unconditional Love, Kathy Bates had a large role.",large
Kathy Bates,Around the World in 80 Days,2004,"In Around the World in 80 Days, Kathy Bates had a large role.",large
Kathy Bates,Little Black Book,2004,"In Little Black Book, Kathy Bates had a large role.",large
Kathy Bates,The Cutting Edge: The Magic of Movie Editing,2004,"In The Cutting Edge: The Magic of Movie Editing, Kathy Bates had a large role.",large
Kathy Bates,Ambulance Girl,2005,"In Ambulance Girl, Kathy Bates had a large role.",large
Kathy Bates,Hansel and Gretel,2005,"In Hansel and Gretel, Kathy Bates had a large role.",large
Kathy Bates,Rumor Has It...,2005,"In Rumor Has It..., Kathy Bates had a large role.",large
Kathy Bates,Warm Springs,2005,"In Warm Springs, Kathy Bates had a large role.",large
Kathy Bates,Bonneville,2006,"In Bonneville, Kathy Bates had a large role.",large
Kathy Bates,Failure to Launch,2006,"In Failure to Launch, Kathy Bates had a large role.",large
Kathy Bates,Guilty Hearts,2006,"In Guilty Hearts, Kathy Bates had a large role.",large
Kathy Bates,Relative Strangers,2006,"In Relative Strangers, Kathy Bates had a large role.",large
Kathy Bates,Solace,2006,"In Solace, Kathy Bates had a large role.",large
Kathy Bates,Bee Movie,2007,"In Bee Movie, Kathy Bates had a large role.",large
Kathy Bates,Christmas Is Here Again,2007,"In Christmas Is Here Again, Kathy Bates had a large role.",large
Kathy Bates,Fred Claus,2007,"In Fred Claus, Kathy Bates had a large role.",large
Kathy Bates,P.S. I Love You,2007,"In P.S. I Love You, Kathy Bates had a large role.",large
Kathy Bates,Personal Effects,2008,"In Personal Effects, Kathy Bates had a large role.",large
Kathy Bates,Revolutionary Road,2008,"In Revolutionary Road, Kathy Bates had a large role.",large
Kathy Bates,The Family That Preys,2008,"In The Family That Preys, Kathy Bates had a large role.",large
Kathy Bates,Chéri,2009,"In Chéri, Kathy Bates had a large role.",large
Kathy Bates,The Legend of Pancho Barnes and the Happy Bottom Riding Club,2009,"In The Legend of Pancho Barnes and the Happy Bottom Riding Club, Kathy Bates had a large role.",large
Kathy Bates,Midnight in Paris,2011,"In Midnight in Paris, Kathy Bates had a large role.",large
Kathy Bates,You May Not Kiss the Bride,2011,"In You May Not Kiss the Bride, Kathy Bates had a large role.",large
Kathy Bates,Cadaver,2012,"In Cadaver, Kathy Bates had a large role.",large
Kathy Bates,Tammy,2014,"In Tammy, Kathy Bates had a large role.",large
Kathy Bates,When Marnie Was There,2014,"In When Marnie Was There, Kathy Bates had a large role.",large
Kathy Bates,Boychoir,2015,"In Boychoir, Kathy Bates had a large role.",large
Kathy Bates,The Great Gilly Hopkins,2015,"In The Great Gilly Hopkins, Kathy Bates had a large role.",large
Kathy Bates,Bad Santa 2,2016,"In Bad Santa 2, Kathy Bates had a large role.",large
Kathy Bates,Complete Unknown,2016,"In Complete Unknown, Kathy Bates had a large role.",large
Kathy Bates,The Boss,2016,"In The Boss, Kathy Bates had a large role.",large
Kathy Bates,Krystal,2017,"In Krystal, Kathy Bates had a large role.",large
Kathy Bates,On the Basis of Sex,2017,"In On the Basis of Sex, Kathy Bates had a large role.",large
Kathy Bates,The Death & Life of John F. Donovan,2018,"In The Death & Life of John F. Donovan, Kathy Bates had a large role.",large
Kathy Bates,Richard Jewell,2019,"In Richard Jewell, Kathy Bates had a large role.",large
Kathy Bates,The Highwaymen,2019,"In The Highwaymen, Kathy Bates had a large role.",large
Kathy Bates,Home,2020,"In Home, Kathy Bates had a large role.",large
Kathy Bates,The Miracle Club,2020,"In The Miracle Club, Kathy Bates had a large role.",large
Kathy Bates,A Family Affair,2022,"In A Family Affair, Kathy Bates had a large role.",large
Kathy Bates,Summer Camp,2024,"In Summer Camp, Kathy Bates had a large role.",large
Kathy Bates,The Great Lillian Hall,2024,"In The Great Lillian Hall, Kathy Bates had a large role.",large
Keanu Reeves,One Step Away,1985,"In One Step Away, Keanu Reeves had a large role.",large
Keanu Reeves,Babes in Toyland,1986,"In Babes in Toyland, Keanu Reeves had a large role.",large
Keanu Reeves,Flying,1986,"In Flying, Keanu Reeves had a large role.",large
Keanu Reeves,Youngblood,1986,"In Youngblood, Keanu Reeves had a large role.",large
Keanu Reeves,Dangerous Liaisons,1988,"In Dangerous Liaisons, Keanu Reeves had a large role.",large
Keanu Reeves,Permanent Record,1988,"In Permanent Record, Keanu Reeves had a large role.",large
Keanu Reeves,The Night Before,1988,"In The Night Before, Keanu Reeves had a large role.",large
Keanu Reeves,The Prince of Pennsylvania,1988,"In The Prince of Pennsylvania, Keanu Reeves had a large role.",large
Keanu Reeves,Parenthood,1989,"In Parenthood, Keanu Reeves had a large role.",large
Keanu Reeves,I Love You to Death,1990,"In I Love You to Death, Keanu Reeves had a large role.",large
Keanu Reeves,Tune in Tomorrow,1990,"In Tune in Tomorrow, Keanu Reeves had a large role.",large
Keanu Reeves,My Own Private Idaho,1991,"In My Own Private Idaho, Keanu Reeves had a large role.",large
Keanu Reeves,Point Break,1991,"In Point Break, Keanu Reeves had a large role.",large
Keanu Reeves,Even Cowgirls Get the Blues,1993,"In Even Cowgirls Get the Blues, Keanu Reeves had a large role.",large
Keanu Reeves,Freaked,1993,"In Freaked, Keanu Reeves had a large role.",large
Keanu Reeves,Little Buddha,1993,"In Little Buddha, Keanu Reeves had a large role.",large
Keanu Reeves,Much Ado About Nothing,1993,"In Much Ado About Nothing, Keanu Reeves had a large role.",large
Keanu Reeves,Speed,1994,"In Speed, Keanu Reeves had a large role.",large
Keanu Reeves,A Walk in the Clouds,1995,"In A Walk in the Clouds, Keanu Reeves had a large role.",large
Keanu Reeves,Johnny Mnemonic,1995,"In Johnny Mnemonic, Keanu Reeves had a large role.",large
Keanu Reeves,Chain Reaction,1996,"In Chain Reaction, Keanu Reeves had a large role.",large
Keanu Reeves,Feeling Minnesota,1996,"In Feeling Minnesota, Keanu Reeves had a large role.",large
Keanu Reeves,The Last Time I Committed Suicide,1997,"In The Last Time I Committed Suicide, Keanu Reeves had a large role.",large
Keanu Reeves,Me and Will,1999,"In Me and Will, Keanu Reeves had a large role.",large
Keanu Reeves,The Matrix,1999,"In The Matrix, Keanu Reeves had a large role.",large
Keanu Reeves,The Gift,2000,"In The Gift, Keanu Reeves had a large role.",large
Keanu Reeves,The Replacements,2000,"In The Replacements, Keanu Reeves had a large role.",large
Keanu Reeves,The Watcher,2000,"In The Watcher, Keanu Reeves had a large role.",large
Keanu Reeves,Hardball,2001,"In Hardball, Keanu Reeves had a large role.",large
Keanu Reeves,Sweet November,2001,"In Sweet November, Keanu Reeves had a large role.",large
Keanu Reeves,The Animatrix,2003,"In The Animatrix, Keanu Reeves had a large role.",large
